,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category,Venue Summary,Venue Type
106,Dum Dum Municipality,22.570539474487305,88.3712387084961,Sealdah Railway Station,22.56796955755306,88.3711266517639,Train Station,This spot is popular,general
107,Dum Dum Municipality,22.570539474487305,88.3712387084961,Platform #9B,22.568036450605884,88.37140049238124,Platform,This spot is popular,general
108,Dum Dum Municipality,22.570539474487305,88.3712387084961,Sealdah Rajdhani,22.568173374957258,88.37283664335622,Platform,This spot is popular,general
109,Dum Dum Municipality,22.570539474487305,88.3712387084961,College Square Swimming Club,22.575192497014992,88.36442286831601,Pool,This spot is popular,general
110,South Dumdum Municipality,22.59428977966309,88.39456176757812,Hudco Bus Stop,22.59150124832425,88.39340201351979,Bus Station,This spot is popular,general
111,South Dumdum Municipality,22.59428977966309,88.39456176757812,Bidhannagar Railway Station (Ultadanga),22.59128930843634,88.39096426963806,Train Station,This spot is popular,general
112,South Dumdum Municipality,22.59428977966309,88.39456176757812,The French Loaf,22.59407275327981,88.40216517448425,Bakery,This spot is popular,general
113,South Dumdum Municipality,22.59428977966309,88.39456176757812,HDFC Bank ATM,22.591229,88.402173,ATM,This spot is popular,general
114,South Dumdum Municipality,22.59428977966309,88.39456176757812,AB AC Park,22.593028722718426,88.4030984535215,Park,This spot is popular,general
115,South Dumdum Municipality,22.59428977966309,88.39456176757812,CA Market,22.587485506355854,88.40056657791138,Market,This spot is popular,general
116,Kamarhati Municipality,22.570539474487305,88.3712387084961,Bhim Chandra Nag,22.570638822213024,88.37152372833114,Indian Sweet Shop,This spot is popular,general
117,Kamarhati Municipality,22.570539474487305,88.3712387084961,Big Bazaar,22.565918736488236,88.36963534355162,Department Store,This spot is popular,general
118,Kamarhati Municipality,22.570539474487305,88.3712387084961,Indian Coffee House,22.576186678115835,88.36401300379693,Café,This spot is popular,general
119,Kamarhati Municipality,22.570539474487305,88.3712387084961,Paramount,22.573874166664815,88.3644962310791,Juice Bar,This spot is popular,general
120,Kamarhati Municipality,22.570539474487305,88.3712387084961,Café Coffee Day,22.565918736488236,88.36963534355162,Café,This spot is popular,general
121,Kamarhati Municipality,22.570539474487305,88.3712387084961,College Square,22.57474596671362,88.36389541625975,Plaza,This spot is popular,general
122,Kamarhati Municipality,22.570539474487305,88.3712387084961,Sealdah Railway Station,22.56796955755306,88.3711266517639,Train Station,This spot is popular,general
123,Kamarhati Municipality,22.570539474487305,88.3712387084961,Platform #9B,22.568036450605884,88.37140049238124,Platform,This spot is popular,general
124,Kamarhati Municipality,22.570539474487305,88.3712387084961,Sealdah Rajdhani,22.568173374957258,88.37283664335622,Platform,This spot is popular,general
125,Kamarhati Municipality,22.570539474487305,88.3712387084961,College Square Swimming Club,22.575192497014992,88.36442286831601,Pool,This spot is popular,general
126,Baranagar Municipality,22.570539474487305,88.3712387084961,Bhim Chandra Nag,22.570638822213024,88.37152372833114,Indian Sweet Shop,This spot is popular,general
127,Baranagar Municipality,22.570539474487305,88.3712387084961,Big Bazaar,22.565918736488236,88.36963534355162,Department Store,This spot is popular,general
128,Baranagar Municipality,22.570539474487305,88.3712387084961,Indian Coffee House,22.576186678115835,88.36401300379693,Café,This spot is popular,general
129,Baranagar Municipality,22.570539474487305,88.3712387084961,Paramount,22.573874166664815,88.3644962310791,Juice Bar,This spot is popular,general
130,Baranagar Municipality,22.570539474487305,88.3712387084961,Café Coffee Day,22.565918736488236,88.36963534355162,Café,This spot is popular,general
131,Baranagar Municipality,22.570539474487305,88.3712387084961,College Square,22.57474596671362,88.36389541625975,Plaza,This spot is popular,general
132,Baranagar Municipality,22.570539474487305,88.3712387084961,Sealdah Railway Station,22.56796955755306,88.3711266517639,Train Station,This spot is popular,general
133,Baranagar Municipality,22.570539474487305,88.3712387084961,Platform #9B,22.568036450605884,88.37140049238124,Platform,This spot is popular,general
134,Baranagar Municipality,22.570539474487305,88.3712387084961,Sealdah Rajdhani,22.568173374957258,88.37283664335622,Platform,This spot is popular,general
135,Baranagar Municipality,22.570539474487305,88.3712387084961,College Square Swimming Club,22.575192497014992,88.36442286831601,Pool,This spot is popular,general
136,Rajarhat Gopalpur Municipality,22.63179,88.44972,CafeSWISS,22.622990451645443,88.450229325867,Swiss Restaurant,This spot is popular,general
137,Rajarhat Gopalpur Municipality,22.63179,88.44972,INOX,22.622993182581098,88.45035861724804,Multiplex,This spot is popular,general
138,Rajarhat Gopalpur Municipality,22.63179,88.44972,Cafe Coffee Day,22.62297589794576,88.45014751202348,Café,This spot is popular,general
139,Rajarhat Gopalpur Municipality,22.63179,88.44972,KFC,22.622968098515937,88.4503497700007,Fast Food Restaurant,This spot is popular,general
140,Rajarhat Gopalpur Municipality,22.63179,88.44972,The Tea Junction,22.622924215365654,88.45032256579347,Tea Room,This spot is popular,general
141,Rajarhat Gopalpur Municipality,22.63179,88.44972,Afraa Deli,22.6229761251816,88.45028471639016,Deli / Bodega,This spot is popular,general
142,Rajarhat Gopalpur Municipality,22.63179,88.44972,World of Titan,22.622970397822144,88.45033675931113,Watch Shop,This spot is popular,general
143,Rajarhat Gopalpur Municipality,22.63179,88.44972,HangOut,22.622926941824232,88.45036041516343,Food Court,This spot is popular,general
144,Rajarhat Gopalpur Municipality,22.63179,88.44972,Maaya,22.62287644226652,88.45020901748344,Cocktail Bar,This spot is popular,general
145,Rajarhat Gopalpur Municipality,22.63179,88.44972,The Orient,22.622870214965783,88.45014751202348,Asian Restaurant,This spot is popular,general
146,Bidhannagar Municipal Corporation,22.637470245361328,88.45429992675781,Soto rempah rempah,22.6396053,88.4570432,Asian Restaurant,This spot is popular,general
147,Bidhannagar Municipal Corporation,22.637470245361328,88.45429992675781,Shapla Restaurant,22.632013,88.45034,Indian Restaurant,This spot is popular,general
148,Bidhannagar Municipal Corporation,22.637470245361328,88.45429992675781,Salua Bazaar,22.632141,88.44998,Farmers Market,This spot is popular,general
149,Bidhannagar Municipal Corporation,22.637470245361328,88.45429992675781,Sima Hospitality,22.631664,88.46084,Hotel,This spot is popular,general
150,Bidhannagar Municipal Corporation,22.637470245361328,88.45429992675781,"Delta consulting- solution for abroad education, Business Management & Export-Import, Kolkata",22.633520296500308,88.46277236938477,Business Service,This spot is popular,general
151,Maheshtala Municipality,22.570539474487305,88.3712387084961,Bhim Chandra Nag,22.570638822213024,88.37152372833114,Indian Sweet Shop,This spot is popular,general
152,Maheshtala Municipality,22.570539474487305,88.3712387084961,Big Bazaar,22.565918736488236,88.36963534355162,Department Store,This spot is popular,general
153,Maheshtala Municipality,22.570539474487305,88.3712387084961,Indian Coffee House,22.576186678115835,88.36401300379693,Café,This spot is popular,general
154,Maheshtala Municipality,22.570539474487305,88.3712387084961,Paramount,22.573874166664815,88.3644962310791,Juice Bar,This spot is popular,general
155,Maheshtala Municipality,22.570539474487305,88.3712387084961,Café Coffee Day,22.565918736488236,88.36963534355162,Café,This spot is popular,general
156,Maheshtala Municipality,22.570539474487305,88.3712387084961,College Square,22.57474596671362,88.36389541625975,Plaza,This spot is popular,general
