,Village,Village Latitude,Village Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category,Venue Summary,Venue Type
68,Narela,28.83976936340332,77.0769271850586,vicky traders,28.846179962158203,77.08342742919922,Furniture / Home Store,This spot is popular,general
69,Pitam Pura,28.695890426635746,77.13726043701172,Chunmun Store,28.68997711346211,77.1346271047693,Department Store,This spot is popular,general
70,Pitam Pura,28.695890426635746,77.13726043701172,Gulab Sweets,28.699974162781096,77.13701091015463,Snack Place,This spot is popular,general
71,Pitam Pura,28.695890426635746,77.13726043701172,CCD,28.68971884044455,77.13463227335599,Café,This spot is popular,general
72,Pitam Pura,28.695890426635746,77.13726043701172,Pitampura Metro Station,28.70319844347494,77.13226318359375,Metro Station,This spot is popular,general
73,Rani Bagh,28.685720443725586,77.13191986083984,Chunmun Store,28.68997711346211,77.1346271047693,Department Store,This spot is popular,general
74,Rani Bagh,28.685720443725586,77.13191986083984,Raani Bagh Market,28.68676937880406,77.12982316986646,Department Store,This spot is popular,general
75,Rani Bagh,28.685720443725586,77.13191986083984,BTW Food Court,28.689555,77.135137,Indian Restaurant,This spot is popular,general
76,Rani Bagh,28.685720443725586,77.13191986083984,Shakurbasti Railway Station,28.68052616655129,77.12759613990784,Train Station,This spot is popular,general
77,Rithala,28.719440460205078,77.10150909423828,Mosaic,28.720531559662774,77.11012967123072,Restaurant,This spot is popular,general
78,Rithala,28.719440460205078,77.10150909423828,Crowne Plaza,28.720047258613377,77.11043310491654,Hotel,This spot is popular,general
79,Rithala,28.719440460205078,77.10150909423828,Rithala Metro Station,28.72077572422933,77.10717916488647,Light Rail Station,This spot is popular,general
80,Rithala,28.719440460205078,77.10150909423828,Shoppers Stop,28.719713914615454,77.10968138708341,Clothing Store,This spot is popular,general
81,Rohini Sub City,28.642963409423828,77.11587524414062,Pirates of The Grill,28.64437068780949,77.11167380352475,BBQ Joint,This spot is popular,general
82,Rohini Sub City,28.642963409423828,77.11587524414062,Main Market Rajouri Garden,28.645728604671543,77.12126068889171,Market,This spot is popular,general
83,Rohini Sub City,28.642963409423828,77.11587524414062,Zara | जा़रा,28.64246808621033,77.10653617124635,Clothing Store,This spot is popular,general
84,Rohini Sub City,28.642963409423828,77.11587524414062,Anjlika Pastry Shop,28.642520980882544,77.12329387664795,Bakery,This spot is popular,general
85,Rohini Sub City,28.642963409423828,77.11587524414062,PVR Cinemas,28.642439020761362,77.10650038448208,Multiplex,This spot is popular,general
86,Rohini Sub City,28.642963409423828,77.11587524414062,Haldiram's,28.6424586594383,77.1065022497266,Indian Restaurant,This spot is popular,general
87,Rohini Sub City,28.642963409423828,77.11587524414062,Pacific Mall,28.642333976274138,77.10650390377636,Shopping Mall,This spot is popular,general
88,Rohini Sub City,28.642963409423828,77.11587524414062,Shiv Murti,28.63638844931407,77.11105120819529,Sculpture Garden,This spot is popular,general
